RatingScore	QiList	Cargill
9594925	9287132	9287132
9479204	9785603	9785603
9725471	9630664	9630664
9460289	9423487	9423487
9736353	9472713	9472713
9395264	9486477	9486477
9606039	9479010	9479010
9313060	9450650	9450650
9612959	9480710	9480710
9592173	9751298	9751298
9287132	9536997	9536997
9785603	9376309	9376309
9630664	9798832	9798832
9423487	9557123	9557123
9472713	9450753	9450753
9486477	9330812	9330812
9479010	9722041	9722041
9450650	9284439	9284439
9480710	9562829	9562829
9511959	9288473	9288473
9751298	9473145	9473145
9536997	9461336	9461336
9376309	9257981	9257981
9798832	9267211	9267211
9557123	9606807	9606807
9450753	9536521	9536521
9330812	9689847	9689847
9722041	9715488	9715488
9284439	9650169	9650169
9562829	9591519	9591519
9288473	9500754	9500754
9473145	9403815	9403815
9461336	9006320	9006320
9257981	9540481	9540481
9267211	9622667	9622667
9606807	9711767	9711767
9536521	9711779	9711779
9798088	9467615	9467615
9722625	9696450	9696450
9689847	9425148	9425148
9715488	9763980	9763980
9650169	9763992	9763992
9591519	9478834	9478834
9500754	9195717	9195717
9403815	9599145	9599145
9006320	9537006	9537006
9540481	9430820	9430820
9839064	9405904	9405904
9622667	9672040	9672040
9754082	9726504	9726504
9754094	9643300	9643300
9711767	9695004	9695004
9711779	9643295	9643295
9467615	9672052	9672052
9696450	9316593	9316593
9425148	9708538	9708538
9763980	9713935	9713935
9763992	9590046	9590046
9478834	9277565	9277565
9195717	9590723	9590723
9599145	9587350	9587350
9537006	9396488	9396488
9430820	9699866	9699866
9405904	9767546	9767546
9672040	9723148	9723148
9726504	9747106	9747106
9643300	9737888	9737888
9695004	9243693	9243693
9643295	9599066	9599066
9672052	9668336	9668336
9316593	9643166	9643166
9708538	9589164	9589164
9713935	9698850	9698850
9590046	9711717	9711717
9277565	9790828	9648893
9590723	9698862	9790828
9587350	9366108	9569229
9396488	9771298	9698862
9699866	9455959	9550292
9767546	9545510	9829473
9723148	9667045	9829461
9747106	9640607	9366108
9737888	9147746	9771298
9243693	9364447	9455959
9599066	9633410	9545510
9668336	9364277	9667045
9643166	9496977	9640607
9589164	9736341	9147746
9698850	9304253	9364447
9711717	9774264	9294111
9648893	9326536	9284659
9790828	9454280	9250165
9569229	9286865	9633410
9698862	9724180	9518086
9550292	9738818	9364277
9829473	9548225	9496977
9829461	9304289	9736341
9832432	9473705	9304253
9366108	9804954	9590072
9771298	9624665	9774264
9455959	9426001	9326536
9545510	9425875	9328558
9667045	9529463	9260627
9640607	9306419	9454280
9147746	9330422	9328560
9364447	9740079	9286865
9790816	9740093	9724180
9294111	9659892	9738818
9284659	9668300	9302762
9250165	9083225	9518189
9369514	9740067	9459022
9633410	9667095	9548225
9518086	9561899	9304289
9364277	9643609	9473705
9342815	9625839	9610248
9496977	9283849	9804954
9736341	9740160	9624665
9304253	9181845	9426001
9590072	9425825	9611905
9774264	9199139	9278739
9326536	9589724	9425875
9328558	9598660	9529463
9260627	9711913	9306419
9454280	9594250	9330422
9328560	9782156	9740079
9286865	9673836	9740093
9724180	9798856	9527207
9738818	9466441	9659892
9302762	9132662	9668300
9518189	9620293	9083225
9459022	9767584	9740067
9548225	9726762	9667095
9304289	9552355	9561899
9473705	9346835	9641352
9610248	9302308	9241504
9804954	9811036	9643609
9624665	9314129	9625839
9426001	9473157	9283849
9611905	9725548	9254111
9278739	9469871	9740160
9363132	9539468	9181845
9425875	9453535	9425825
9529463	9593830	9199139
9306419	9619787	9589724
9330422	9553139	9598660
9740079	9432256	9711913
9740093	9607459	9594250
9527207	9738117	9782156
9659892	9621168	9673836
9668300	9712060	9798856
9083225	9354571	9466441
9740067	9337169	9132662
9667095	9427524	9620293
9561899	9373618	9687710
9641352	9817559	9767584
9710555	9568005	9726762
9241504	9289013	9552355
9254460	9490727	9346835
9643609	9693757	9302308
9625839	9367164	9652325
9283849	9499450	9811036
9254111	9328936	9314129
9740160	9313022	9473157
9181845	9566758	9549669
9425825	9702508	9725548
9199139	9073581	9469871
9589724	9658915	9539468
9598660	9385154	9453535
9711913	9370135	9714745
9594250	9123245	9593830
9782156	9597032	9619787
9673836	9805788	9553139
9798856	9498872	9432256
9466441	9771092	9607459
9132662	9718026	9738117
9620293	9719666	9621168
9687710	9424613	9712060
9767584	9291389	9354571
9726762	9303924	9337169
9552355	9689811	9427524
9346835	9744984	9373618
9774032	9744764	9817559
9302308	9710543	9568005
9652325	9718131	9289013
9811036	9742663	9490727
9314129	9412294	9693757
9473157	9758399	9367164
9549669	9811517	9497880
9725548	9606120	9499450
9469871	9195729	9756248
9539468	9744996	9328936
9453535	9631929	9573828
9714745	9456537	9401489
9593830	9722027	9313022
9619787	9583691	9566758
9553139	9717345	9702508
9432256	9609718	9073581
9607459	9705988	9658915
9738117	9711327	9385154
9621168	9476678	9370135
9712060	9728332	9123245
9354571	9728368	9597032
9337169	9583847	9805788
9427524	9543249	9498872
9373618	9593751	9771092
9817559	9015577	9718026
9568005	9576791	9719666
9289013	9380817	9424613
9490727	9486465	9291389
9693757	9689677	9303924
9367164		9689811
9497880		9439589
9499450		9744984
9756248		9744764
9328936		9710543
9573828		9718131
9401489		9742663
9313022		9618501
9566758		9489089
9702508		9412294
9073581		9820996
9658915		9442469
9385154		9758399
9370135		9811517
9123245		9606120
9597032		9195729
9805788		9744996
9498872		9631929
9771092		9456537
9718026		9722027
9719666		9583691
9343637		9484675
9424613		9467665
9291389		9717345
9303924		9609718
9689811		9705988
9439589		9711327
9744984		9476678
9744764		9728332
9710543		9728368
9718131		9583847
9742663		9543249
9618501		9593751
9489089		9446130
9412294		9015577
9820996		9576791
9442469		9380817
9758399		9486465
9811517		9689677
9606120		
9195729		
9832444		
9744996		
9631929		
9456537		
9722027		
9583691		
9484675		
9467665		
9717345		
9609718		
9705988		
9711327		
9476678		
9728332		
9728368		
9728356		
9583847		
9543249		
9593751		
9774850		
9446130		
9015577		
9576791		
9380817		
9486465		
9689677		
